Strain,Gene,blattner,insertion,rel_cfu,rel_growth,stdev,pi_pos,stdev,
EPD246,yhhQ,b3471,yes,9.5E-01,0.95,0.07,2.6,0.5,
EPD247,bcsB,b3532,yes,1.1E+00,0.96,0.08,2.6,0.5,
EPD248,glyS,b3559,yes,1.0E-06,0.04,0.00,7.3,0.9,
EPD249,glyQ,b3560,yes,1.0E-06,0.05,0.02,11.4,1.6,
EPD250,gpsA,b3608,yes,1.5E-03,0.08,0.01,4.3,2.8,
EPD251,waaU,b3623,yes,9.2E-01,0.91,0.14,2.2,0.5,
EPD252,waaA,b3633,yes,1.4E-01,0.27,0.06,3.6,0.7,
EPD253,coaD,b3634,yes,1.0E-01,0.28,0.05,2.8,0.3,
EPD254,rpmB,b3637,yes,8.0E-02,0.34,0.06,3.7,0.5,
EPD255,dfp,b3639,no,,,,,,
EPD256,dut,b3640,yes,7.7E-05,0.13,0.02,10.0,0.9,
EPD257,gmk,b3648,yes,9.3E-01,0.92,0.07,1.1,0.3,
EPD258,spoT,b3650,yes,4.5E-01,0.64,0.06,2.3,0.2,
EPD259,gyrB,b3699,yes,1.0E-06,0.25,0.01,1.8,0.3,
EPD260,dnaN,b3701,yes,1.0E+00,0.98,0.07,2.2,0.6,
EPD261,dnaA,b3702,no,,,,,,
EPD262,rpmH,b3703,no,,,,,,
EPD263,rnpA,b3704,no,,,,,,
EPD264,yidC,b3705,yes,5.7E-01,0.83,0.13,1.3,0.4,
EPD265,tnaB,b3709,yes,8.8E-01,0.97,0.05,1.2,0.2,
EPD266,glmS,b3729,no,,,,,,
EPD267,glmU,b3730,yes,6.7E-05,0.02,0.00,17.8,2.5,
EPD268,rho,b3783,yes,2.1E-04,0.14,0.04,3.4,0.2,
EPD269,wzyE,b3793,yes,9.5E-01,0.92,0.04,9.3,3.1,
EPD270,hemD,b3804,yes,9.3E-01,0.29,0.00,2.1,0.3,
EPD271,hemC,b3805,yes,1.0E-01,0.22,0.02,2.1,0.1,
EPD272,ubiB,b3835,yes,1.0E+00,1.05,0.02,1.9,0.5,
EPD273,ubiD,b3843,yes,8.8E-01,0.72,0.09,2.2,0.4,
EPD274,hemG,b3850,yes,1.1E+00,0.93,0.10,2.0,0.4,
EPD275,polA,b3863,yes,6.4E-01,0.89,0.15,1.8,0.5,
EPD276,yihA,b3865,yes,5.9E-02,0.37,0.05,3.3,0.2,
EPD277,ftsN,b3933,yes,1.2E+00,0.97,0.05,1.4,0.0,
EPD278,murI,b3967,yes,5.3E-05,0.01,0.00,28.7,2.1,
EPD279,murB,b3972,yes,1.0E-06,0.01,0.00,8.7,1.6,
EPD280,birA,b3973,yes,8.6E-01,0.59,0.07,2.1,0.4,
EPD281,coaA,b3974,yes,1.0E-06,0.14,0.03,4.5,1.3,
EPD282,secE,b3981,yes,8.7E-01,1.07,0.07,1.3,0.3,
EPD283,nusG,b3982,yes,1.0E-06,0.43,0.09,14.1,3.0,
EPD284,rplJ,b3985,no,,,,,,
EPD285,rplL,b3986,yes,1.0E-06,0.04,0.01,6.5,0.7,
EPD286,rpoB,b3987,yes,8.6E-01,1.00,0.06,1.5,0.1,
EPD287,rpoC,b3988,yes,1.1E-02,0.66,0.09,1.7,0.3,
EPD288,ubiA,b4040,yes,8.6E-01,0.93,0.11,1.1,0.2,
EPD289,plsB,b4041,yes,1.0E-06,0.03,0.02,65.6,8.0,
EPD290,lexA,b4043,yes,1.5E-04,0.31,0.13,14.9,3.4,
EPD291,dnaB,b4052,yes,1.0E-06,0.12,0.02,4.6,0.7,
EPD292,ssb,b4059,yes,1.0E-06,0.83,0.01,0.9,0.2,
EPD293,alsK,b4084,yes,8.3E-01,0.96,0.12,2.7,0.6,
EPD294,groS,b4142,yes,3.6E-03,0.24,0.08,3.9,0.7,
EPD295,groL,b4143,no,,,,,,
EPD296,psd,b4160,yes,1.1E+00,0.96,0.11,2.6,0.7,
EPD297,orn,b4162,yes,1.0E-06,0.08,0.01,4.3,0.6,
EPD298,tsaE,b4168,yes,1.1E-01,0.07,0.02,2.4,0.4,
EPD299,rpsR,b4202,yes,1.1E+00,0.85,0.19,0.6,0.1,
EPD300,chpS,b4224,yes,1.2E+00,0.93,0.14,1.7,0.3,
EPD301,ppa,b4226,yes,4.0E-02,0.09,0.04,6.9,1.2,
EPD302,valS,b4258,yes,1.3E-04,0.02,0.01,3.5,0.8,
EPD303,lptF,b4261,no,,,,,,
EPD304,lptG,b4262,yes,1.2E+00,0.96,0.05,2.6,0.3,
EPD305,dnaC,b4361,yes,9.1E-05,0.06,0.02,7.3,0.9,
EPD306,wild type,,,1.1E+00,1.02,0.01,2.2,0.5,
